ts_unix	user_id	side	imu_state_num	imu_state	rep_id	desc_ms	rise_ms	tempo_cv	tempo_score	tempo_level	pitch_deg	pitch_vel_dps	frame_id
1760781867.72	user01	L	0	HOLD	0	0	0	0.0	100	A_매우안정	-0.28	0.1	17607818677
1760781868.77	user01	L	0	HOLD	0	0	0	0.0	100	A_매우안정	-0.23	0.04	17607818687
1760781870.55	user01	L	0	HOLD	0	0	0	0.0	100	A_매우안정	-0.22	0.0	17607818705
1760781872.43	user01	L	0	HOLD	0	0	0	0.0	100	A_매우안정	-0.21	-0.01	17607818724
1760781874.19	user01	L	1	RISE	0	0	0	0.0	100	A_매우안정	-77.83	38.98	17607818741
1760781875.95	user01	L	0	HOLD	1	882	0	0.0	100	A_매우안정	-35.52	8.12	17607818759
1760781877.82	user01	L	0	HOLD	2	882	1792	0.3	70	B_안정	-80.42	9.99	17607818778
1760781879.58	user01	L	0	HOLD	3	882	0	0.45	55	C_보통	-81.55	2.72	17607818795
1760781881.44	user01	L	-1	DESC	3	0	0	0.45	55	C_보통	-36.2	-34.01	17607818814
1760781883.19	user01	L	1	RISE	3	1356	0	0.45	55	C_보통	-71.38	25.62	17607818831
1760781884.94	user01	L	0	HOLD	4	1356	1479	0.42	58	C_보통	-76.77	5.23	17607818849
1760781886.79	user01	L	-1	DESC	4	0	0	0.42	58	C_보통	-60.57	-17.47	17607818867
1760781888.53	user01	L	1	RISE	4	786	0	0.42	58	C_보통	-79.26	11.29	17607818885
1760781890.27	user01	L	1	RISE	5	1005	0	0.46	54	C_보통	-64.9	21.21	17607818902
1760781892.13	user01	L	0	HOLD	6	1005	1280	0.23	77	B_안정	-76.57	4.95	17607818921
1760781893.87	user01	L	0	HOLD	6	1005	1280	0.23	77	B_안정	-76.77	0.74	17607818938
1760781895.71	user01	L	-1	DESC	6	0	0	0.23	77	B_안정	-23.01	-32.15	17607818957
1760781897.44	user01	L	0	HOLD	7	692	0	0.29	71	B_안정	-34.41	-4.14	17607818974
1760781899.28	user01	L	1	RISE	8	664	0	0.33	67	B_안정	-56.88	18.68	17607818992
1760781901.02	user01	L	1	RISE	9	559	0	0.13	87	A_매우안정	-64.16	19.24	17607819010
1760781902.75	user01	L	0	HOLD	10	559	1090	0.1	90	A_매우안정	-75.52	4.73	17607819027
1760781904.59	user01	L	0	HOLD	10	559	1090	0.1	90	A_매우안정	-75.72	0.82	17607819045
1760781906.41	user01	L	0	HOLD	10	559	1090	0.1	90	A_매우안정	-75.42	-0.04	17607819064
1760781908.14	user01	L	0	HOLD	10	559	1090	0.1	90	A_매우안정	-75.2	-0.11	17607819081
